50 50 -1
##################################################
#  #     #    ###   #     #                      #
#  #  #  #   #   #  #  #  #                      #
#  # # # #   #   #  # # # #                      #
#  ##   ##    ###   ##   ##                      #
#                                        @       #
#         #   #   ###   #  #  ###    #####       #
#          # #   #   #  #  #  #  #   #           #
#           #    #   #  #  #  ###    ###         #
#           #    #   #  #  #  #  #   #           #
#           #     ###    ##   #   #  #####       #
#                                                #
#               ######    ###    ###   ###    ## #
#               #        #   #  #   #  #  #   ## #
#               #  ##    #   #  #   #  #   #  ## #
#               #    #   #   #  #   #  #  #      #
#               ######    ###    ###   ###    ## #
#      *                                      ** #
################H#############################H###
#               H#                            H  #
#               H#------------------------    H  #
#               H#                     ###########
#        %      H#                               #
####H#############                               #
#   H                                            #
#   H                                            #
#   H       --------------- *      %             #
####H########             #############H##########
#                                      H         #
#                                      H         #
#                                      H         #
#                                      H         #
#                          *           H         #
#H################################################
#H                                               #
#H                                               #
#H           *            -----------------#######
######################H#####                    ##
#                     H                  *      ##
#                     H                  #########
#                     H                          #
#                     H             *            #
#                     ###H###############H########
#                        H                       #
#      *      ---------  H        ----------     #
############H##       #############        #H#####
#           H                               H    #
#           H                               H    #
#        %  S                  %            H    #
##################################################

20 20 -1
####################
#   *            @ #
#H#####H      H#####
#H     H      H    #
#H     H------H    #
#H     H      H    #
#H#####H      H---##
#H     H      H    #
#H  *  H######H    #
#H#####H      H    #
#H     H------H  % #
########       ###H#
#  H              H#
#  H-------  *    H#
###H       ####H####
#  H           H   #
#  H-----------H   #
#  H               #
#  H *    *        #
####################
